X,CH1,Start,Increment,Average
Sequence,W,-29.45,0.05,
202,0.488,,10.15,0.3592
203,0.224,,10.2,0.3592
204,0.488,,10.25,0.3576
205,0.224,,10.3,0.332
206,0.24,,10.35,0.3592
207,0.488,,10.4,0.3584
208,0.504,,10.45,0.3584
209,0.216,,10.5,0.332
210,0.224,,10.55,0.3608
211,0.496,,10.6,0.388
212,0.488,,10.65,0.3616
213,0.208,,10.7,0.336
214,0.232,,10.75,0.3648
215,0.496,,10.8,0.3912
216,0.232,,10.85,0.364
217,0.488,,10.9,0.3896
218,0.24,,10.95,0.3632
219,0.504,,11,0.3616
220,0.496,,11.05,0.3608
221,0.232,,11.1,0.332
222,0.232,,11.15,0.3584
223,0.496,,11.2,0.3856
224,0.496,,11.25,0.3592
225,0.224,,11.3,0.3584
226,0.488,,11.35,0.3576
227,0.224,,11.4,0.3592
228,0.224,,11.45,0.3584
229,0.496,,11.5,0.3864
230,0.208,,11.55,0.3568
231,0.496,,11.6,0.3856
232,0.504,,11.65,0.3592
233,0.232,,11.7,0.3304
234,0.488,,11.75,0.356
235,0.216,,11.8,0.3304
236,0.504,,11.85,0.3568
237,0.216,,11.9,0.328
238,0.504,,11.95,0.356
239,0.2,,12,0.3288
240,0.496,,12.05,0.3584
241,0.232,,12.1,0.332
242,0.216,,12.15,0.3576
243,0.488,,12.2,0.3848
244,0.232,,12.25,0.3568
245,0.48,,12.3,0.3832
246,0.216,,12.35,0.3544
247,0.496,,12.4,0.3824
248,0.232,,12.45,0.3544
249,0.496,,12.5,0.3544
250,0.232,,12.55,0.3552
251,0.488,,12.6,0.356
252,0.488,,12.65,0.3576
253,0.208,,12.7,0.3664
254,0.496,,12.75,0.368
255,0.192,,12.8,0.3392
256,0.496,,12.85,0.368
257,0.216,,12.9,0.3392
258,0.232,,12.95,0.368
259,0.504,,13,0.3936
260,0.24,,13.05,0.3672
261,0.504,,13.1,0.3664
262,0.576,,13.15,0.3648
263,0.224,,13.2,0.356
264,0.208,,13.25,0.3552
265,0.48,,13.3,0.384
266,0.208,,13.35,0.3568
267,0.504,,13.4,0.3864
268,0.488,,13.45,0.3592
269,0.24,,13.5,0.3592
270,0.232,,13.55,0.356
271,0.488,,13.6,0.3832
272,0.488,,13.65,0.3576
273,0.216,,13.7,0.3584
274,0.496,,13.75,0.3584
275,0.208,,13.8,0.3584
276,0.504,,13.85,0.3584
277,0.232,,13.9,0.3304
278,0.488,,13.95,0.3576
279,0.208,,14,0.332
280,0.504,,14.05,0.3608
281,0.232,,14.1,0.3336
282,0.496,,14.15,0.3584
283,0.216,,14.2,0.3312
284,0.496,,14.25,0.3616
285,0.208,,14.3,0.3328
286,0.224,,14.35,0.3624
287,0.504,,14.4,0.3904
288,0.232,,14.45,0.3616
289,0.496,,14.5,0.3896
290,0.232,,14.55,0.3632
291,0.48,,14.6,0.3632
292,0.224,,14.65,0.3656
293,0.52,,14.7,0.3664
294,0.208,,14.75,0.364
295,0.504,,14.8,0.392
296,0.504,,14.85,0.3616
297,0.216,,14.9,0.3616
298,0.512,,14.95,0.3624
299,0.232,,15,0.332
300,0.232,,15.05,0.3576
301,0.504,,15.1,0.3832
302,0.232,,15.15,0.3552
303,0.496,,15.2,0.3824
304,0.488,,15.25,0.356
305,0.2,,15.3,0.3296
306,0.504,,15.35,0.3592
307,0.224,,15.4,0.3328
308,0.208,,15.45,0.3608
309,0.488,,15.5,0.3888
310,0.488,,15.55,0.3624
311,0.224,,15.6,0.3368
312,0.504,,15.65,0.3632
313,0.232,,15.7,0.3656
314,0.224,,15.75,0.3632
315,0.496,,15.8,0.3632
316,0.24,,15.85,0.364
317,0.504,,15.9,0.3632
318,0.488,,15.95,0.3632
319,0.224,,16,0.3624
320,0.232,,16.05,0.3632
321,0.488,,16.1,0.388
322,0.528,,16.15,0.36
323,0.208,,16.2,0.3304
324,0.224,,16.25,0.3584
325,0.504,,16.3,0.3864
326,0.232,,16.35,0.3576
327,0.504,,16.4,0.3576
328,0.48,,16.45,0.3552
329,0.232,,16.5,0.3288
330,0.48,,16.55,0.3552
331,0.208,,16.6,0.3312
332,0.232,,16.65,0.3608
333,0.488,,16.7,0.3616
334,0.504,,16.75,0.3616
335,0.216,,16.8,0.3344
336,0.232,,16.85,0.3632
337,0.48,,16.9,0.3888
338,0.216,,16.95,0.3608
339,0.496,,17,0.3632
340,0.24,,17.05,0.3624
341,0.504,,17.1,0.3584
342,0.24,,17.15,0.3568
343,0.488,,17.2,0.3832
344,0.232,,17.25,0.356
345,0.504,,17.3,0.3816
346,0.488,,17.35,0.3528
347,0.2,,17.4,0.3528
348,0.24,,17.45,0.356
349,0.488,,17.5,0.352
350,0.2,,17.55,0.3528
351,0.488,,17.6,0.3568
352,0.504,,17.65,0.3584
353,0.216,,17.7,0.3288
354,0.488,,17.75,0.356
355,0.216,,17.8,0.356
356,0.488,,17.85,0.3576
357,0.232,,17.9,0.3576
358,0.2,,17.95,0.3576
359,0.496,,18,0.3616
360,0.24,,18.05,0.3616
361,0.504,,18.1,0.3608
362,0.208,,18.15,0.36
363,0.488,,18.2,0.36
364,0.488,,18.25,0.3616
365,0.232,,18.3,0.3352
366,0.488,,18.35,0.3616
367,0.232,,18.4,0.3632
368,0.24,,18.45,0.3632
369,0.496,,18.5,0.3616
370,0.232,,18.55,0.3616
371,0.496,,18.6,0.36
372,0.208,,18.65,0.36
373,0.504,,18.7,0.3928
374,0.224,,18.75,0.3648
375,0.496,,18.8,0.3656
376,0.504,,18.85,0.3656
377,0.232,,18.9,0.364
378,0.224,,18.95,0.364
379,0.496,,19,0.3656
380,0.216,,19.05,0.3648
381,0.496,,19.1,0.3656
382,0.536,,19.15,0.3664
383,0.224,,19.2,0.336
384,0.232,,19.25,0.3624
385,0.496,,19.3,0.364
386,0.488,,19.35,0.3632
387,0.232,,19.4,0.3624
388,0.24,,19.45,0.3608
389,0.488,,19.5,0.36
390,0.224,,19.55,0.3608
391,0.504,,19.6,0.3616
392,0.232,,19.65,0.3608
393,0.488,,19.7,0.3608
394,0.248,,19.75,0.36
395,0.488,,19.8,0.3552
396,0.48,,19.85,0.356
397,0.216,,19.9,0.3312
398,0.232,,19.95,0.3584
399,0.496,,20,0.3848
400,0.232,,20.05,0.3576
401,0.496,,20.1,0.3568
402,0.232,,20.15,0.356
403,0.48,,20.2,0.356
404,0.2,,20.25,0.3592
405,0.496,,20.3,0.3632
406,0.232,,20.35,0.3656
407,0.488,,20.4,0.3936
408,0.496,,20.45,0.3656
409,0.224,,20.5,0.3672
410,0.224,,20.55,0.3672
411,0.488,,20.6,0.396
412,0.232,,20.65,0.3704
413,0.512,,20.7,0.368
414,0.24,,20.75,0.3672
415,0.52,,20.8,0.3944
416,0.512,,20.85,0.3624
417,0.208,,20.9,0.332
418,0.512,,20.95,0.3616
419,0.224,,21,0.3608
420,0.512,,21.05,0.3592
421,0.232,,21.1,0.332
422,0.208,,21.15,0.3584
423,0.504,,21.2,0.3608
424,0.512,,21.25,0.3608
425,0.2,,21.3,0.332
426,0.208,,21.35,0.3608
427,0.504,,21.4,0.364
428,0.504,,21.45,0.3624
429,0.208,,21.5,0.3352
430,0.24,,21.55,0.3616
431,0.496,,21.6,0.3608
432,0.232,,21.65,0.3608
433,0.504,,21.7,0.36
434,0.224,,21.75,0.3616
435,0.488,,21.8,0.388
436,0.24,,21.85,0.3616
437,0.488,,21.9,0.36
438,0.232,,21.95,0.3608
439,0.472,,22,0.3616
440,0.232,,22.05,0.3648
441,0.496,,22.1,0.392
442,0.224,,22.15,0.3656
443,0.52,,22.2,0.3664
444,0.488,,22.25,0.3648
445,0.224,,22.3,0.3664
446,0.224,,22.35,0.3672
447,0.496,,22.4,0.3952
448,0.24,,22.45,0.3696
449,0.504,,22.5,0.3688
450,0.504,,22.55,0.3672
451,0.232,,22.6,0.3392
452,0.232,,22.65,0.3664
453,0.504,,22.7,0.392
454,0.504,,22.75,0.3656
455,0.232,,22.8,0.364
456,0.504,,22.85,0.3616
457,0.24,,22.9,0.3344
458,0.232,,22.95,0.3568
459,0.488,,23,0.384
460,0.224,,23.05,0.3576
461,0.504,,23.1,0.3584
462,0.488,,23.15,0.3584
463,0.24,,23.2,0.3624
464,0.488,,23.25,0.3616
465,0.208,,23.3,0.336
466,0.232,,23.35,0.3632
467,0.464,,23.4,0.3632
468,0.504,,23.45,0.3656
469,0.224,,23.5,0.364
470,0.232,,23.55,0.3648
471,0.504,,23.6,0.3912
472,0.528,,23.65,0.3632
473,0.232,,23.7,0.3336
474,0.232,,23.75,0.3608
475,0.48,,23.8,0.3872
476,0.232,,23.85,0.3616
477,0.488,,23.9,0.3592
478,0.488,,23.95,0.3608
479,0.232,,24,0.3632
480,0.496,,24.05,0.3632
481,0.224,,24.1,0.3624
482,0.232,,24.15,0.3616
483,0.504,,24.2,0.3608
484,0.496,,24.25,0.3592
485,0.224,,24.3,0.332
486,0.208,,24.35,0.3584
487,0.504,,24.4,0.3864
488,0.512,,24.45,0.3592
489,0.232,,24.5,0.3624
490,0.488,,24.55,0.3616
491,0.216,,24.6,0.3576
492,0.224,,24.65,0.356
493,0.488,,24.7,0.3856
494,0.224,,24.75,0.3608
495,0.488,,24.8,0.384
496,0.488,,24.85,0.3576
497,0.232,,24.9,0.3328
498,0.544,,24.95,0.3552
499,0.224,,25,0.3456
500,0.448,,25.05,0.3456
501,0.2,,25.1,0.324
502,0.52,,25.15,0.3496
503,0.24,,25.2,0.3432
504,0.456,,25.25,0.3424
505,0.224,,25.3,0.3424
506,0.24,,25.35,0.344
507,0.456,,25.4,0.3648
508,0.448,,25.45,0.3424
509,0.224,,25.5,0.3216
510,0.232,,25.55,0.3448
511,0.456,,25.6,0.3448
512,0.456,,25.65,0.3448
513,0.232,,25.7,0.3448
514,0.456,,25.75,0.3448
515,0.24,,25.8,0.324
516,0.448,,25.85,0.3456
517,0.232,,25.9,0.3456
518,0.24,,25.95,0.3464
519,0.456,,26,0.3456
520,0.232,,26.05,0.348
521,0.456,,26.1,0.3712
522,0.456,,26.15,0.3504
523,0.232,,26.2,0.3576
524,0.248,,26.25,0.3568
525,0.456,,26.3,0.3768
526,0.448,,26.35,0.352
527,0.24,,26.4,0.352
528,0.232,,26.45,0.352
529,0.48,,26.5,0.3528
530,0.464,,26.55,0.3504
531,0.248,,26.6,0.3496
532,0.528,,26.65,0.348
533,0.224,,26.7,0.3408
534,0.448,,26.75,0.3384
535,0.208,,26.8,0.3392
536,0.448,,26.85,0.3424
537,0.24,,26.9,0.3424
538,0.24,,26.95,0.3408
539,0.456,,27,0.3624
540,0.456,,27.05,0.3392
541,0.232,,27.1,0.3384
542,0.456,,27.15,0.34
543,0.2,,27.2,0.3176
544,0.456,,27.25,0.3432
545,0.24,,27.3,0.3432
546,0.448,,27.35,0.34
547,0.224,,27.4,0.3184
548,0.456,,27.45,0.3416
549,0.224,,27.5,0.3416
550,0.448,,27.55,0.3432
551,0.248,,27.6,0.344
552,0.232,,27.65,0.3432
553,0.456,,27.7,0.3424
554,0.456,,27.75,0.3496
555,0.208,,27.8,0.3272
556,0.232,,27.85,0.3512
557,0.456,,27.9,0.3504
558,0.456,,27.95,0.3504
559,0.24,,28,0.3496
560,0.456,,28.05,0.3488
561,0.24,,28.1,0.328
562,0.224,,28.15,0.3496
563,0.528,,28.2,0.3504
564,0.232,,28.25,0.344
565,0.448,,28.3,0.3408
566,0.224,,28.35,0.3416
567,0.456,,28.4,0.364
568,0.448,,28.45,0.3416
569,0.232,,28.5,0.3416
570,0.248,,28.55,0.3392
571,0.456,,28.6,0.3384
572,0.232,,28.65,0.3384
573,0.464,,28.7,0.3608
574,0.2,,28.75,0.336
575,0.456,,28.8,0.3408
576,0.448,,28.85,0.3416
577,0.232,,28.9,0.3184
578,0.448,,28.95,0.3408
579,0.208,,29,0.3192
580,0.24,,29.05,0.344
581,0.456,,29.1,0.3656
582,0.456,,29.15,0.3424
583,0.216,,29.2,0.3472
584,0.248,,29.25,0.3504
585,0.464,,29.3,0.3704
586,0.216,,29.35,0.348
587,0.456,,29.4,0.3712
588,0.232,,29.45,0.3496
589,0.456,,29.5,0.3464
590,0.456,,29.55,0.3464
591,0.224,,29.6,0.3456
592,0.504,,29.65,0.3472
593,0.248,,29.7,0.3176
594,0.448,,29.75,0.3384
595,0.24,,29.8,0.3176
596,0.448,,29.85,0.3392
597,0.24,,29.9,0.3392
598,0.2,,29.95,0.3368
599,0.456,,30,0.34
600,0.448,,30.05,0.34
601,0.24,,30.1,0.3184
602,0.208,,30.15,0.3408
603,0.456,,30.2,0.3432
604,0.24,,30.25,0.3432
605,0.456,,30.3,0.3648
606,0.448,,30.35,0.3424
607,0.216,,30.4,0.3432
608,0.232,,30.45,0.3448
609,0.456,,30.5,0.3664
610,0.232,,30.55,0.3432
611,0.464,,30.6,0.3416
612,0.232,,30.65,0.3416
613,0.456,,30.7,0.372
614,0.456,,30.75,0.3488
615,0.232,,30.8,0.348
616,0.456,,30.85,0.3456
617,0.232,,30.9,0.3448
618,0.448,,30.95,0.3448
619,0.224,,31,0.3448
620,0.216,,31.05,0.344
621,0.464,,31.1,0.3672
622,0.536,,31.15,0.3456
623,0.224,,31.2,0.3376
624,0.448,,31.25,0.3352
625,0.208,,31.3,0.3352
626,0.448,,31.35,0.3376
627,0.232,,31.4,0.3376
628,0.448,,31.45,0.3376
629,0.216,,31.5,0.3168
630,0.448,,31.55,0.3408
631,0.248,,31.6,0.32
632,0.456,,31.65,0.3408
633,0.2,,31.7,0.3408
634,0.448,,31.75,0.344
635,0.232,,31.8,0.3232
636,0.448,,31.85,0.3456
637,0.232,,31.9,0.3456
638,0.24,,31.95,0.3456
639,0.456,,32,0.344
640,0.24,,32.05,0.344
641,0.456,,32.1,0.3664
642,0.456,,32.15,0.3448
643,0.232,,32.2,0.3504
644,0.24,,32.25,0.3504
645,0.456,,32.3,0.3768
646,0.448,,32.35,0.3544
647,0.232,,32.4,0.3552
648,0.224,,32.45,0.3552
649,0.456,,32.5,0.3784
650,0.464,,32.55,0.356
651,0.24,,32.6,0.3552
652,0.512,,32.65,0.3544
653,0.232,,32.7,0.3496
654,0.504,,32.75,0.3496
655,0.232,,32.8,0.3224
656,0.456,,32.85,0.3448
657,0.232,,32.9,0.344
658,0.456,,32.95,0.344
659,0.232,,33,0.3224
660,0.456,,33.05,0.3456
661,0.232,,33.1,0.3456
662,0.464,,33.15,0.3456
663,0.232,,33.2,0.344
664,0.232,,33.25,0.3448
665,0.456,,33.3,0.3672
666,0.448,,33.35,0.3416
667,0.232,,33.4,0.3424
668,0.24,,33.45,0.3424
669,0.464,,33.5,0.3392
670,0.456,,33.55,0.3384
671,0.232,,33.6,0.3392
672,0.448,,33.65,0.3384
673,0.24,,33.7,0.3456
674,0.456,,33.75,0.3448
675,0.2,,33.8,0.3216
676,0.456,,33.85,0.3472
677,0.232,,33.9,0.3472
678,0.208,,33.95,0.3472
679,0.456,,34,0.3496
680,0.464,,34.05,0.3504
681,0.224,,34.1,0.3272
682,0.52,,34.15,0.3504
683,0.232,,34.2,0.3432
684,0.224,,34.25,0.344
685,0.456,,34.3,0.3672
686,0.456,,34.35,0.3448
687,0.232,,34.4,0.3488
688,0.232,,34.45,0.3504
689,0.464,,34.5,0.372
690,0.232,,34.55,0.348
691,0.456,,34.6,0.3696
692,0.448,,34.65,0.348
693,0.24,,34.7,0.348
694,0.456,,34.75,0.348
695,0.232,,34.8,0.3256
696,0.496,,34.85,0.3472
697,0.248,,34.9,0.3432
698,0.448,,34.95,0.3408
699,0.224,,35,0.3416
700,0.448,,35.05,0.3424
701,0.24,,35.1,0.3424
702,0.448,,35.15,0.3424
703,0.24,,35.2,0.3496
704,0.232,,35.25,0.3488
705,0.448,,35.3,0.3488
706,0.456,,35.35,0.3496
707,0.224,,35.4,0.3488
708,0.456,,35.45,0.3496
709,0.232,,35.5,0.3496
710,0.448,,35.55,0.3496
711,0.24,,35.6,0.3272
712,0.52,,35.65,0.3488
713,0.232,,35.7,0.3416
714,0.232,,35.75,0.3416
715,0.456,,35.8,0.3632
716,0.448,,35.85,0.3408
717,0.232,,35.9,0.3408
718,0.456,,35.95,0.3408
719,0.232,,36,0.34
720,0.224,,36.05,0.34
721,0.456,,36.1,0.3632
722,0.448,,36.15,0.3416
723,0.232,,36.2,0.3208
724,0.448,,36.25,0.344
725,0.232,,36.3,0.344
726,0.448,,36.35,0.3416
727,0.232,,36.4,0.3424
728,0.448,,36.45,0.3424
729,0.232,,36.5,0.344
730,0.456,,36.55,0.344
731,0.24,,36.6,0.344
732,0.24,,36.65,0.3424
733,0.464,,36.7,0.3696
734,0.448,,36.75,0.3432
735,0.208,,36.8,0.3432
736,0.456,,36.85,0.3456
737,0.232,,36.9,0.3232
738,0.464,,36.95,0.3456
739,0.232,,37,0.344
740,0.456,,37.05,0.3448
741,0.224,,37.1,0.3224
742,0.512,,37.15,0.3456
743,0.2,,37.2,0.3408
744,0.448,,37.25,0.3424
745,0.232,,37.3,0.3208
746,0.232,,37.35,0.3432
747,0.456,,37.4,0.344
748,0.448,,37.45,0.344
749,0.24,,37.5,0.3208
750,0.232,,37.55,0.3424
751,0.456,,37.6,0.3648
752,0.464,,37.65,0.3432
753,0.216,,37.7,0.3424
754,0.232,,37.75,0.3448
755,0.456,,37.8,0.3424
756,0.24,,37.85,0.3424
757,0.456,,37.9,0.3416
758,0.216,,37.95,0.3416
759,0.456,,38,0.3432
760,0.456,,38.05,0.3432
761,0.24,,38.1,0.3424
762,0.456,,38.15,0.3424
763,0.24,,38.2,0.3192
764,0.208,,38.25,0.3464
765,0.456,,38.3,0.3712
766,0.232,,38.35,0.348
767,0.456,,38.4,0.3488
768,0.232,,38.45,0.3504
769,0.456,,38.5,0.3504
770,0.448,,38.55,0.3528
771,0.24,,38.6,0.3528
772,0.224,,38.65,0.352
773,0.512,,38.7,0.3528
774,0.456,,38.75,0.3472
775,0.224,,38.8,0.3464
776,0.24,,38.85,0.3472
777,0.472,,38.9,0.368
778,0.232,,38.95,0.344
779,0.48,,39,0.344
780,0.448,,39.05,0.3416
781,0.232,,39.1,0.3208
782,0.232,,39.15,0.3432
783,0.456,,39.2,0.3432
784,0.448,,39.25,0.3432
785,0.232,,39.3,0.3208
786,0.448,,39.35,0.3424
787,0.232,,39.4,0.3432
788,0.232,,39.45,0.344
789,0.456,,39.5,0.3664
790,0.24,,39.55,0.3432
791,0.456,,39.6,0.3416
792,0.232,,39.65,0.3416
793,0.456,,39.7,0.3416
794,0.224,,39.75,0.3472
795,0.448,,39.8,0.3488
796,0.456,,39.85,0.3488
797,0.24,,39.9,0.3272
798,0.456,,39.95,0.3488
799,0.224,,40,0.348
800,0.224,,40.05,0.3488
801,0.456,,40.1,0.3712
802,0.232,,40.15,0.348
803,0.512,,40.2,0.3736
804,0.24,,40.25,0.344
805,0.448,,40.3,0.3432
806,0.24,,40.35,0.344
807,0.456,,40.4,0.3656
808,0.448,,40.45,0.3432
809,0.232,,40.5,0.3216
810,0.448,,40.55,0.344
811,0.224,,40.6,0.3448
812,0.488,,40.65,0.3448
813,0.216,,40.7,0.32
814,0.232,,40.75,0.344
815,0.456,,40.8,0.344
816,0.456,,40.85,0.344
817,0.232,,40.9,0.344
818,0.232,,40.95,0.344
819,0.456,,41,0.3656
820,0.456,,41.05,0.3432
821,0.224,,41.1,0.3432
822,0.24,,41.15,0.344
823,0.456,,41.2,0.3424
824,0.232,,41.25,0.3456
825,0.456,,41.3,0.3672
826,0.456,,41.35,0.3432
827,0.232,,41.4,0.3432
828,0.448,,41.45,0.3432
829,0.232,,41.5,0.344
830,0.456,,41.55,0.344
831,0.232,,41.6,0.344
832,0.224,,41.65,0.34
833,0.488,,41.7,0.3408
834,0.448,,41.75,0.3376
835,0.216,,41.8,0.3384
836,0.456,,41.85,0.34
837,0.232,,41.9,0.3192
838,0.456,,41.95,0.3416
839,0.232,,42,0.32
840,0.456,,42.05,0.3424
841,0.192,,42.1,0.3424
842,0.232,,42.15,0.3464
843,0.456,,42.2,0.368
844,0.456,,42.25,0.3456
845,0.232,,42.3,0.3448
846,0.248,,42.35,0.344
847,0.456,,42.4,0.364
848,0.24,,42.45,0.3416
849,0.456,,42.5,0.3384
850,0.456,,42.55,0.3384
851,0.232,,42.6,0.3384
852,0.448,,42.65,0.3384
853,0.232,,42.7,0.3472
854,0.448,,42.75,0.3472
855,0.224,,42.8,0.3216
856,0.448,,42.85,0.3448
857,0.232,,42.9,0.3448
858,0.208,,42.95,0.3432
859,0.456,,43,0.3464
860,0.456,,43.05,0.3464
861,0.232,,43.1,0.324
862,0.536,,43.15,0.3464
863,0.232,,43.2,0.316
864,0.192,,43.25,0.3384
865,0.456,,43.3,0.3664
866,0.448,,43.35,0.344
867,0.216,,43.4,0.344
868,0.24,,43.45,0.3464
869,0.456,,43.5,0.3672
870,0.232,,43.55,0.3448
871,0.456,,43.6,0.344
872,0.232,,43.65,0.344
873,0.456,,43.7,0.3424
874,0.472,,43.75,0.3424
875,0.232,,43.8,0.3176
876,0.448,,43.85,0.3448
877,0.24,,43.9,0.32
878,0.448,,43.95,0.3416
879,0.232,,44,0.3424
880,0.224,,44.05,0.3424
881,0.456,,44.1,0.3656
882,0.216,,44.15,0.3424
883,0.456,,44.2,0.3728
884,0.224,,44.25,0.3504
885,0.504,,44.3,0.3728
886,0.2,,44.35,0.3416
887,0.456,,44.4,0.3432
