X,CH1,Start,Increment,Average
Sequence,W,-29.45,0.05,
888,0.456,,44.45,0.3432
889,0.232,,44.5,0.3208
890,0.456,,44.55,0.3432
891,0.224,,44.6,0.32
892,0.52,,44.65,0.344
893,0.232,,44.7,0.3376
894,0.448,,44.75,0.3368
895,0.192,,44.8,0.3136
896,0.216,,44.85,0.3392
897,0.456,,44.9,0.3632
898,0.232,,44.95,0.3384
899,0.456,,45,0.36
900,0.224,,45.05,0.3384
901,0.464,,45.1,0.34
902,0.456,,45.15,0.3392
903,0.224,,45.2,0.3184
904,0.216,,45.25,0.3416
905,0.448,,45.3,0.3648
906,0.456,,45.35,0.3432
907,0.208,,45.4,0.3216
908,0.448,,45.45,0.3488
909,0.24,,45.5,0.3496
910,0.24,,45.55,0.3464
911,0.456,,45.6,0.368
912,0.248,,45.65,0.344
913,0.456,,45.7,0.3712
914,0.448,,45.75,0.3488
915,0.232,,45.8,0.3496
916,0.24,,45.85,0.3488
917,0.48,,45.9,0.3696
918,0.456,,45.95,0.344
919,0.208,,46,0.344
920,0.456,,46.05,0.3456
921,0.216,,46.1,0.3456
922,0.52,,46.15,0.3472
923,0.232,,46.2,0.34
924,0.456,,46.25,0.34
925,0.224,,46.3,0.3392
926,0.448,,46.35,0.34
927,0.224,,46.4,0.34
928,0.456,,46.45,0.3408
929,0.224,,46.5,0.3408
930,0.456,,46.55,0.3416
931,0.232,,46.6,0.3192
932,0.448,,46.65,0.3416
933,0.232,,46.7,0.3416
934,0.448,,46.75,0.3424
935,0.232,,46.8,0.3432
936,0.448,,46.85,0.3432
937,0.232,,46.9,0.344
938,0.456,,46.95,0.344
939,0.232,,47,0.3224
940,0.232,,47.05,0.3448
941,0.456,,47.1,0.3672
942,0.448,,47.15,0.3448
943,0.24,,47.2,0.352
944,0.456,,47.25,0.3504
945,0.232,,47.3,0.3512
946,0.456,,47.35,0.3512
947,0.232,,47.4,0.3288
948,0.24,,47.45,0.3512
949,0.456,,47.5,0.3504
950,0.456,,47.55,0.3504
951,0.232,,47.6,0.328
952,0.52,,47.65,0.3504
953,0.224,,47.7,0.3216
954,0.464,,47.75,0.344
955,0.232,,47.8,0.3424
956,0.232,,47.85,0.3424
957,0.456,,47.9,0.3424
958,0.232,,47.95,0.3424
959,0.456,,48,0.364
960,0.232,,48.05,0.3416
961,0.456,,48.1,0.3424
962,0.232,,48.15,0.3424
963,0.448,,48.2,0.364
964,0.448,,48.25,0.3384
965,0.232,,48.3,0.3392
966,0.232,,48.35,0.34
967,0.456,,48.4,0.3624
968,0.448,,48.45,0.34
969,0.232,,48.5,0.34
970,0.24,,48.55,0.3416
971,0.456,,48.6,0.3632
972,0.448,,48.65,0.3408
973,0.192,,48.7,0.348
974,0.456,,48.75,0.352
975,0.24,,48.8,0.3296
976,0.456,,48.85,0.3512
977,0.232,,48.9,0.3512
978,0.448,,48.95,0.3496
979,0.248,,49,0.3264
980,0.456,,49.05,0.3472
981,0.232,,49.1,0.3256
982,0.52,,49.15,0.348
983,0.232,,49.2,0.3192
984,0.232,,49.25,0.3416
985,0.456,,49.3,0.3632
986,0.456,,49.35,0.3384
987,0.216,,49.4,0.3384
988,0.216,,49.45,0.34
989,0.456,,49.5,0.3384
990,0.24,,49.55,0.3384
991,0.456,,49.6,0.3592
992,0.232,,49.65,0.336
993,0.456,,49.7,0.3584
994,0.448,,49.75,0.3328
995,0.208,,49.8,0.3336
996,0.456,,49.85,0.336
997,0.232,,49.9,0.336
998,0.2,,49.95,0.336
999,0.456,,50,0.3608
1000,0.448,,50.05,0.3392
1001,0.224,,50.1,0.34
1002,0.456,,50.15,0.3408
1003,0.2,,50.2,0.3184
1004,0.456,,50.25,0.3504
1005,0.232,,50.3,0.3504
1006,0.456,,50.35,0.3504
1007,0.232,,50.4,0.3496
1008,0.448,,50.45,0.3488
1009,0.24,,50.5,0.3488
1010,0.456,,50.55,0.348
1011,0.232,,50.6,0.3472
1012,0.232,,50.65,0.3448
1013,0.52,,50.7,0.3664
1014,0.456,,50.75,0.3384
1015,0.232,,50.8,0.3384
1016,0.448,,50.85,0.3384
1017,0.224,,50.9,0.3384
1018,0.448,,50.95,0.34
1019,0.232,,51,0.3408
1020,0.448,,51.05,0.3384
1021,0.208,,51.1,0.3392
1022,0.448,,51.15,0.3416
1023,0.24,,51.2,0.3424
1024,0.456,,51.25,0.3416
1025,0.232,,51.3,0.3192
1026,0.448,,51.35,0.3416
1027,0.24,,51.4,0.3424
1028,0.456,,51.45,0.3416
1029,0.208,,51.5,0.3192
1030,0.456,,51.55,0.344
1031,0.232,,51.6,0.3432
1032,0.456,,51.65,0.344
1033,0.232,,51.7,0.3504
1034,0.232,,51.75,0.3512
1035,0.456,,51.8,0.3728
1036,0.456,,51.85,0.3504
1037,0.232,,51.9,0.3504
1038,0.232,,51.95,0.3496
1039,0.456,,52,0.3496
1040,0.448,,52.05,0.3504
1041,0.24,,52.1,0.3288
1042,0.52,,52.15,0.3504
1043,0.24,,52.2,0.3432
1044,0.448,,52.25,0.3424
1045,0.232,,52.3,0.3208
1046,0.456,,52.35,0.3432
1047,0.224,,52.4,0.3432
1048,0.232,,52.45,0.34
1049,0.464,,52.5,0.3616
1050,0.232,,52.55,0.3352
1051,0.456,,52.6,0.3576
1052,0.448,,52.65,0.3352
1053,0.232,,52.7,0.336
1054,0.232,,52.75,0.3368
1055,0.456,,52.8,0.3584
1056,0.456,,52.85,0.336
1057,0.192,,52.9,0.3136
1058,0.448,,52.95,0.34
1059,0.2,,53,0.3408
1060,0.456,,53.05,0.3432
1061,0.232,,53.1,0.348
1062,0.456,,53.15,0.348
1063,0.24,,53.2,0.3544
1064,0.448,,53.25,0.3536
1065,0.232,,53.3,0.3544
1066,0.232,,53.35,0.3544
1067,0.456,,53.4,0.3544
1068,0.456,,53.45,0.3544
1069,0.224,,53.5,0.3312
1070,0.504,,53.55,0.3544
1071,0.232,,53.6,0.328
1072,0.52,,53.65,0.3504
1073,0.232,,53.7,0.344
1074,0.456,,53.75,0.3416
1075,0.232,,53.8,0.3416
1076,0.232,,53.85,0.3408
1077,0.456,,53.9,0.3408
1078,0.224,,53.95,0.3408
1079,0.456,,54,0.3632
1080,0.24,,54.05,0.3392
1081,0.456,,54.1,0.3608
1082,0.456,,54.15,0.3352
1083,0.208,,54.2,0.3352
1084,0.456,,54.25,0.3376
1085,0.224,,54.3,0.3384
1086,0.232,,54.35,0.336
1087,0.456,,54.4,0.3576
1088,0.448,,54.45,0.3368
1089,0.216,,54.5,0.3376
1090,0.456,,54.55,0.3392
1091,0.2,,54.6,0.3392
1092,0.456,,54.65,0.3424
1093,0.232,,54.7,0.3216
1094,0.464,,54.75,0.3472
1095,0.2,,54.8,0.3464
1096,0.448,,54.85,0.3504
1097,0.248,,54.9,0.3248
1098,0.456,,54.95,0.3456
1099,0.232,,55,0.3448
1100,0.456,,55.05,0.344
1101,0.232,,55.1,0.344
1102,0.248,,55.15,0.344
1103,0.488,,55.2,0.3664
1104,0.456,,55.25,0.3416
1105,0.24,,55.3,0.3192
1106,0.192,,55.35,0.3408
1107,0.456,,55.4,0.3448
1108,0.448,,55.45,0.3448
1109,0.224,,55.5,0.3448
1110,0.456,,55.55,0.3472
1111,0.232,,55.6,0.3248
1112,0.472,,55.65,0.348
1113,0.24,,55.7,0.3456
1114,0.232,,55.75,0.3448
1115,0.456,,55.8,0.3424
1116,0.232,,55.85,0.3424
1117,0.456,,55.9,0.364
1118,0.448,,55.95,0.3416
1119,0.248,,56,0.3416
1120,0.232,,56.05,0.34
1121,0.464,,56.1,0.3616
1122,0.448,,56.15,0.3376
1123,0.232,,56.2,0.3168
1124,0.208,,56.25,0.3488
1125,0.456,,56.3,0.3512
1126,0.448,,56.35,0.3584
1127,0.232,,56.4,0.3584
1128,0.448,,56.45,0.3576
1129,0.232,,56.5,0.3584
1130,0.448,,56.55,0.3576
1131,0.224,,56.6,0.3368
1132,0.24,,56.65,0.36
1133,0.552,,56.7,0.3816
1134,0.232,,56.75,0.3496
1135,0.528,,56.8,0.3488
1136,0.448,,56.85,0.3416
1137,0.224,,56.9,0.32
1138,0.456,,56.95,0.3632
1139,0.224,,57,0.3824
1140,0.24,,57.05,0.3832
1141,0.456,,57.1,0.4072
1142,0.456,,57.15,0.3856
1143,0.232,,57.2,0.36
1144,0.224,,57.25,0.3872
1145,0.456,,57.3,0.4096
1146,0.232,,57.35,0.3848
1147,0.656,,57.4,0.4064
1148,0.648,,57.45,0.3616
1149,0.232,,57.5,0.3416
1150,0.48,,57.55,0.3416
1151,0.24,,57.6,0.3384
1152,0.2,,57.65,0.3376
1153,0.504,,57.7,0.3368
1154,0.448,,57.75,0.3384
1155,0.208,,57.8,0.3392
1156,0.448,,57.85,0.3416
1157,0.208,,57.9,0.32
1158,0.448,,57.95,0.3448
1159,0.232,,58,0.3448
1160,0.448,,58.05,0.3456
1161,0.232,,58.1,0.3456
1162,0.192,,58.15,0.3432
1163,0.52,,58.2,0.3696
1164,0.456,,58.25,0.3408
1165,0.232,,58.3,0.32
1166,0.232,,58.35,0.3424
1167,0.456,,58.4,0.3648
1168,0.448,,58.45,0.3424
1169,0.24,,58.5,0.3208
1170,0.448,,58.55,0.3424
1171,0.208,,58.6,0.3424
1172,0.456,,58.65,0.3408
1173,0.232,,58.7,0.34
1174,0.248,,58.75,0.3392
1175,0.456,,58.8,0.3592
1176,0.456,,58.85,0.3368
1177,0.232,,58.9,0.3152
1178,0.232,,58.95,0.3376
1179,0.456,,59,0.3376
1180,0.448,,59.05,0.3368
1181,0.192,,59.1,0.3376
1182,0.448,,59.15,0.34
1183,0.224,,59.2,0.3184
1184,0.448,,59.25,0.3472
1185,0.232,,59.3,0.3256
1186,0.24,,59.35,
1187,0.456,,59.4,
1188,0.232,,59.45,
1189,0.448,,59.5,
1190,0.456,,59.55,
1191,0.216,,59.6,
1192,0.232,,59.65,
1193,0.512,,59.7,
1194,0.232,,59.75,
1195,0.464,,59.8,
1196,0.24,,59.85,
1197,0.456,,59.9,
1198,0.456,,59.95,
1199,0.192,,60,
