X,CH1:W,Start,Increment,Average
201,0.504,,2.02,0.3616
202,0.232,,2.03,0.3608
203,0.488,,2.04,0.3576
204,0.24,,2.05,0.3584
205,0.488,,2.06,0.3584
206,0.216,,2.07,0.3592
207,0.488,,2.08,0.3592
208,0.24,,2.09,0.3576
209,0.512,,2.1,0.3576
210,0.208,,2.11,0.3552
211,0.496,,2.12,0.3856
212,0.2,,2.13,0.36
213,0.496,,2.14,0.364
214,0.24,,2.15,0.364
215,0.496,,2.16,0.364
216,0.216,,2.17,0.3632
217,0.472,,2.18,0.3656
218,0.24,,2.19,0.3664
219,0.488,,2.2,0.3656
220,0.512,,2.21,0.3664
221,0.24,,2.22,0.3336
222,0.24,,2.23,0.3592
223,0.496,,2.24,0.3592
224,0.24,,2.25,0.3592
225,0.488,,2.26,0.3568
226,0.24,,2.27,0.3576
227,0.48,,2.28,0.3568
228,0.232,,2.29,0.3568
229,0.496,,2.3,0.3568
230,0.184,,2.31,0.3568
231,0.496,,2.32,0.3624
232,0.24,,2.33,0.3624
233,0.496,,2.34,0.3584
234,0.216,,2.35,0.3584
235,0.496,,2.36,0.3608
236,0.232,,2.37,0.3624
237,0.48,,2.38,0.36
238,0.232,,2.39,0.3616
239,0.496,,2.4,0.3624
240,0.24,,2.41,0.3616
241,0.496,,2.42,0.3616
242,0.2,,2.43,0.3616
243,0.496,,2.44,0.3656
244,0.24,,2.45,0.3656
245,0.512,,2.46,0.3616
246,0.208,,2.47,0.36
247,0.496,,2.48,0.3624
248,0.24,,2.49,0.3632
249,0.488,,2.5,0.3632
250,0.24,,2.51,0.3656
251,0.496,,2.52,0.364
252,0.24,,2.53,0.3672
253,0.496,,2.54,0.368
254,0.2,,2.55,0.3688
255,0.496,,2.56,0.3696
256,0.232,,2.57,0.3696
257,0.504,,2.58,0.3704
258,0.24,,2.59,0.3688
259,0.512,,2.6,0.3688
260,0.224,,2.61,0.3672
261,0.528,,2.62,0.3688
262,0.248,,2.63,0.3656
263,0.504,,2.64,0.3624
264,0.208,,2.65,0.3616
265,0.496,,2.66,0.3904
266,0.24,,2.67,0.3648
267,0.488,,2.68,0.3632
268,0.24,,2.69,0.36
269,0.496,,2.7,0.3568
270,0.24,,2.71,0.3568
271,0.496,,2.72,0.3568
272,0.216,,2.73,0.3544
273,0.496,,2.74,0.3576
274,0.496,,2.75,0.3576
