X,CH1,Start,Increment,
Sequence,Volt,-1.148000e+01,2.000000e-02
0,2.32e-01,
1,4.72e-01,
2,2.24e-01,
3,4.72e-01,
4,4.72e-01,
5,1.92e-01,
6,4.80e-01,
7,2.32e-01,
8,4.64e-01,
9,2.08e-01,
10,2.24e-01,
11,4.72e-01,
12,4.72e-01,
13,2.32e-01,
14,4.72e-01,
15,2.32e-01,
16,4.72e-01,
17,2.32e-01,
18,2.24e-01,
19,4.72e-01,
20,2.32e-01,
21,5.04e-01,
22,2.32e-01,
23,4.72e-01,
24,4.72e-01,
25,2.32e-01,
26,2.00e-01,
27,4.80e-01,
28,2.40e-01,
29,4.80e-01,
30,4.64e-01,
31,2.32e-01,
32,4.72e-01,
33,2.24e-01,
34,2.40e-01,
35,4.72e-01,
36,2.32e-01,
37,5.84e-01,
38,5.28e-01,
39,2.32e-01,
40,4.80e-01,
41,2.32e-01,
42,2.48e-01,
43,4.72e-01,
44,2.32e-01,
45,5.76e-01,
46,6.00e-01,
47,2.88e-01,
48,2.80e-01,
49,7.36e-01,
50,7.36e-01,
51,2.88e-01,
52,5.76e-01,
53,2.72e-01,
54,2.88e-01,
55,7.52e-01,
56,6.88e-01,
57,2.80e-01,
58,6.88e-01,
59,2.80e-01,
60,6.80e-01,
61,2.64e-01,
62,2.96e-01,
63,6.88e-01,
64,6.72e-01,
65,2.88e-01,
66,2.72e-01,
67,5.76e-01,
68,2.56e-01,
69,6.80e-01,
70,3.04e-01,
71,7.12e-01,
72,7.36e-01,
73,3.36e-01,
74,7.36e-01,
75,3.84e-01,
76,7.44e-01,
77,2.88e-01,
78,2.64e-01,
79,5.76e-01,
80,5.92e-01,
81,2.88e-01,
82,5.76e-01,
83,2.40e-01,
84,5.52e-01,
85,2.32e-01,
86,2.40e-01,
87,6.00e-01,
88,6.16e-01,
89,2.72e-01,
90,2.72e-01,
91,6.16e-01,
92,3.04e-01,
93,6.48e-01,
94,2.96e-01,
95,5.44e-01,
96,6.08e-01,
97,2.96e-01,
98,2.88e-01,
99,6.08e-01,
100,2.96e-01,
101,5.44e-01,
102,3.04e-01,
103,5.92e-01,
104,2.88e-01,
105,5.76e-01,
106,5.52e-01,
107,2.96e-01,
108,6.16e-01,
109,2.56e-01,
110,5.60e-01,
111,2.96e-01,
112,5.44e-01,
113,2.88e-01,
114,5.60e-01,
115,2.88e-01,
116,2.88e-01,
117,5.52e-01,
